Date,puzzle_number,word,Vowel_Count,Consonant_Count,Repeated_Letters,First_Letter
6/19/2021,0,CIGAR,2,3,No,C
6/20/2021,1,REBUT,2,3,No,R
6/21/2021,2,SISSY,1,4,Yes,S
6/22/2021,3,HUMPH,1,4,Yes,H
6/23/2021,4,AWAKE,3,2,Yes,A
6/24/2021,5,BLUSH,1,4,No,B
6/25/2021,6,FOCAL,2,3,No,F
6/26/2021,7,EVADE,3,2,Yes,E
6/27/2021,8,NAVAL,2,3,Yes,N
6/28/2021,9,SERVE,2,3,Yes,S
6/29/2021,10,HEATH,2,3,Yes,H
6/30/2021,11,DWARF,1,4,No,D
7/1/2021,12,MODEL,2,3,No,M
7/2/2021,13,KARMA,2,3,Yes,K
7/3/2021,14,STINK,1,4,No,S
7/4/2021,15,GRADE,2,3,No,G
7/5/2021,16,QUIET,3,2,No,Q
7/6/2021,17,BENCH,1,4,No,B
7/7/2021,18,ABATE,3,2,Yes,A
7/8/2021,19,FEIGN,2,3,No,F
7/9/2021,20,MAJOR,2,3,No,M
7/10/2021,21,DEATH,2,3,No,D
7/11/2021,22,FRESH,1,4,No,F
7/12/2021,23,CRUST,1,4,No,C
7/13/2021,24,STOOL,2,3,Yes,S
7/14/2021,25,COLON,2,3,Yes,C
7/15/2021,26,ABASE,3,2,Yes,A
7/16/2021,27,MARRY,1,4,Yes,M
7/17/2021,28,REACT,2,3,No,R
7/18/2021,29,BATTY,1,4,Yes,B
7/19/2021,30,PRIDE,2,3,No,P
7/20/2021,31,FLOSS,1,4,Yes,F
7/21/2021,32,HELIX,2,3,No,H
7/22/2021,33,CROAK,2,3,No,C
7/23/2021,34,STAFF,1,4,Yes,S
7/24/2021,35,PAPER,2,3,Yes,P
7/25/2021,36,UNFED,2,3,No,U
7/26/2021,37,WHELP,1,4,No,W
7/27/2021,38,TRAWL,1,4,No,T
7/28/2021,39,OUTDO,3,2,Yes,O
7/29/2021,40,ADOBE,3,2,No,A
7/30/2021,41,CRAZY,1,4,No,C
7/31/2021,42,SOWER,2,3,No,S
8/1/2021,43,REPAY,2,3,No,R
8/2/2021,44,DIGIT,2,3,Yes,D
8/3/2021,45,CRATE,2,3,No,C
8/4/2021,46,CLUCK,1,4,Yes,C
8/5/2021,47,SPIKE,2,3,No,S
8/6/2021,48,MIMIC,2,3,Yes,M
8/7/2021,49,POUND,2,3,No,P
8/8/2021,50,MAXIM,2,3,Yes,M
8/9/2021,51,LINEN,2,3,Yes,L
8/10/2021,52,UNMET,2,3,No,U
8/11/2021,53,FLESH,1,4,No,F
8/12/2021,54,BOOBY,2,3,Yes,B
8/13/2021,55,FORTH,1,4,No,F
8/14/2021,56,FIRST,1,4,No,F
8/15/2021,57,STAND,1,4,No,S
8/16/2021,58,BELLY,1,4,Yes,B
8/17/2021,59,IVORY,2,3,No,I
8/18/2021,60,SEEDY,2,3,Yes,S
8/19/2021,61,PRINT,1,4,No,P
8/20/2021,62,YEARN,2,3,No,Y
8/21/2021,63,DRAIN,2,3,No,D
8/22/2021,64,BRIBE,2,3,Yes,B
8/23/2021,65,STOUT,2,3,Yes,S
8/24/2021,66,PANEL,2,3,No,P
8/25/2021,67,CRASS,1,4,Yes,C
8/26/2021,68,FLUME,2,3,No,F
8/27/2021,69,OFFAL,2,3,Yes,O
8/28/2021,70,AGREE,3,2,Yes,A
8/29/2021,71,ERROR,2,3,Yes,E
8/30/2021,72,SWIRL,1,4,No,S
8/31/2021,73,ARGUE,3,2,No,A
9/1/2021,74,BLEED,2,3,Yes,B
9/2/2021,75,DELTA,2,3,No,D
9/3/2021,76,FLICK,1,4,No,F
9/4/2021,77,TOTEM,2,3,Yes,T
9/5/2021,78,WOOER,3,2,Yes,W
9/6/2021,79,FRONT,1,4,No,F
9/7/2021,80,SHRUB,1,4,No,S
9/8/2021,81,PARRY,1,4,Yes,P
9/9/2021,82,BIOME,3,2,No,B
9/10/2021,83,LAPEL,2,3,Yes,L
9/11/2021,84,START,1,4,Yes,S
9/12/2021,85,GREET,2,3,Yes,G
9/13/2021,86,GONER,2,3,No,G
9/14/2021,87,GOLEM,2,3,No,G
9/15/2021,88,LUSTY,1,4,No,L
9/16/2021,89,LOOPY,2,3,Yes,L
9/17/2021,90,ROUND,2,3,No,R
9/18/2021,91,AUDIT,3,2,No,A
9/19/2021,92,LYING,1,4,No,L
9/20/2021,93,GAMMA,2,3,Yes,G
9/21/2021,94,LABOR,2,3,No,L
9/22/2021,95,ISLET,2,3,No,I
9/23/2021,96,CIVIC,2,3,Yes,C
9/24/2021,97,FORGE,2,3,No,F
9/25/2021,98,CORNY,1,4,No,C
9/26/2021,99,MOULT,2,3,No,M
9/27/2021,100,BASIC,2,3,No,B
9/28/2021,101,SALAD,2,3,Yes,S
9/29/2021,102,AGATE,3,2,Yes,A
9/30/2021,103,SPICY,1,4,No,S
10/1/2021,104,SPRAY,1,4,No,S
10/2/2021,105,ESSAY,2,3,Yes,E
10/3/2021,106,FJORD,1,4,No,F
10/4/2021,107,SPEND,1,4,No,S
10/5/2021,108,KEBAB,2,3,Yes,K
10/6/2021,109,GUILD,2,3,No,G
10/7/2021,110,ABACK,2,3,Yes,A
10/8/2021,111,MOTOR,2,3,Yes,M
10/9/2021,112,ALONE,3,2,No,A
10/10/2021,113,HATCH,1,4,Yes,H
10/11/2021,114,HYPER,1,4,No,H
10/12/2021,115,THUMB,1,4,No,T
10/13/2021,116,DOWRY,1,4,No,D
10/14/2021,117,OUGHT,2,3,No,O
10/15/2021,118,BELCH,1,4,No,B
10/16/2021,119,DUTCH,1,4,No,D
10/17/2021,120,PILOT,2,3,No,P
10/18/2021,121,TWEED,2,3,Yes,T
10/19/2021,122,COMET,2,3,No,C
10/20/2021,123,JAUNT,2,3,No,J
10/21/2021,124,ENEMA,3,2,Yes,E
10/22/2021,125,STEED,2,3,Yes,S
10/23/2021,126,ABYSS,1,4,Yes,A
10/24/2021,127,GROWL,1,4,No,G
10/25/2021,128,FLING,1,4,No,F
10/26/2021,129,DOZEN,2,3,No,D
10/27/2021,130,BOOZY,2,3,Yes,B
10/28/2021,131,ERODE,3,2,Yes,E
10/29/2021,132,WORLD,1,4,No,W
10/30/2021,133,GOUGE,3,2,Yes,G
10/31/2021,134,CLICK,1,4,Yes,C
11/1/2021,135,BRIAR,2,3,Yes,B
11/2/2021,136,GREAT,2,3,No,G
11/3/2021,137,ALTAR,2,3,Yes,A
11/4/2021,138,PULPY,1,4,Yes,P
11/5/2021,139,BLURT,1,4,No,B
11/6/2021,140,COAST,2,3,No,C
11/7/2021,141,DUCHY,1,4,No,D
11/8/2021,142,GROIN,2,3,No,G
11/9/2021,143,FIXER,2,3,No,F
11/10/2021,144,GROUP,2,3,No,G
11/11/2021,145,ROGUE,3,2,No,R
11/12/2021,146,BADLY,1,4,No,B
11/13/2021,147,SMART,1,4,No,S
11/14/2021,148,PITHY,1,4,No,P
11/15/2021,149,GAUDY,2,3,No,G
11/16/2021,150,CHILL,1,4,Yes,C
11/17/2021,151,HERON,2,3,No,H
11/18/2021,152,VODKA,2,3,No,V
11/19/2021,153,FINER,2,3,No,F
11/20/2021,154,SURER,2,3,Yes,S
11/21/2021,155,RADIO,3,2,No,R
11/22/2021,156,ROUGE,3,2,No,R
11/23/2021,157,PERCH,1,4,No,P
11/24/2021,158,RETCH,1,4,No,R
11/25/2021,159,WROTE,2,3,No,W
11/26/2021,160,CLOCK,1,4,Yes,C
11/27/2021,161,TILDE,2,3,No,T
11/28/2021,162,STORE,2,3,No,S
11/29/2021,163,PROVE,2,3,No,P
11/30/2021,164,BRING,1,4,No,B
12/1/2021,165,SOLVE,2,3,No,S
12/2/2021,166,CHEAT,2,3,No,C
12/3/2021,167,GRIME,2,3,No,G
12/4/2021,168,EXULT,2,3,No,E
12/5/2021,169,USHER,2,3,No,U
12/6/2021,170,EPOCH,2,3,No,E
12/7/2021,171,TRIAD,2,3,No,T
12/8/2021,172,BREAK,2,3,No,B
12/9/2021,173,RHINO,2,3,No,R
12/10/2021,174,VIRAL,2,3,No,V
12/11/2021,175,CONIC,2,3,Yes,C
12/12/2021,176,MASSE,2,3,Yes,M
12/13/2021,177,SONIC,2,3,No,S
12/14/2021,178,VITAL,2,3,No,V
12/15/2021,179,TRACE,2,3,No,T
12/16/2021,180,USING,2,3,No,U
12/17/2021,181,PEACH,2,3,No,P
12/18/2021,182,CHAMP,1,4,No,C
12/19/2021,183,BATON,2,3,No,B
12/20/2021,184,BRAKE,2,3,No,B
12/21/2021,185,PLUCK,1,4,No,P
12/22/2021,186,CRAZE,2,3,No,C
12/23/2021,187,GRIPE,2,3,No,G
12/24/2021,188,WEARY,2,3,No,W
12/25/2021,189,PICKY,1,4,No,P
12/26/2021,190,ACUTE,3,2,No,A
12/27/2021,191,FERRY,1,4,Yes,F
12/28/2021,192,ASIDE,3,2,No,A
12/29/2021,193,TAPIR,2,3,No,T
12/30/2021,194,TROLL,1,4,Yes,T
12/31/2021,195,UNIFY,2,3,No,U
1/1/2022,196,REBUS,2,3,No,R
1/2/2022,197,BOOST,2,3,Yes,B
1/3/2022,198,TRUSS,1,4,Yes,T
1/4/2022,199,SIEGE,3,2,Yes,S
1/5/2022,200,TIGER,2,3,No,T
1/6/2022,201,BANAL,2,3,Yes,B
1/7/2022,202,SLUMP,1,4,No,S
1/8/2022,203,CRANK,1,4,No,C
1/9/2022,204,GORGE,2,3,Yes,G
1/10/2022,205,QUERY,2,3,No,Q
1/11/2022,206,DRINK,1,4,No,D
1/12/2022,207,FAVOR,2,3,No,F
1/13/2022,208,ABBEY,2,3,Yes,A
1/14/2022,209,TANGY,1,4,No,T
1/15/2022,210,PANIC,2,3,No,P
1/16/2022,211,SOLAR,2,3,No,S
1/17/2022,212,SHIRE,2,3,No,S
1/18/2022,213,PROXY,1,4,No,P
1/19/2022,214,POINT,2,3,No,P
1/20/2022,215,ROBOT,2,3,Yes,R
1/21/2022,216,PRICK,1,4,No,P
1/22/2022,217,WINCE,2,3,No,W
1/23/2022,218,CRIMP,1,4,No,C
1/24/2022,219,KNOLL,1,4,Yes,K
1/25/2022,220,SUGAR,2,3,No,S
1/26/2022,221,WHACK,1,4,No,W
